PkgName,VulnerabilityID,Severity,CVSS.nvd.V3Score,CVSS.redhat.V3Score
bzip2-libs,CVE-2019-12900,LOW,9.8,4
curl,CVE-2022-32206,MEDIUM,6.5,6.5
curl,CVE-2022-32208,MEDIUM,5.9,5.3
file-libs,CVE-2019-8905,LOW,4.4,4.4
file-libs,CVE-2019-8906,LOW,4.4,4.4
glib2,CVE-2018-16428,LOW,9.8,9.8
gmp,CVE-2021-43618,LOW,7.5,6.2
gnupg2,CVE-2022-34903,MEDIUM,6.5,5.9
gnutls,CVE-2021-4209,LOW,null,6.5
gpgme,CVE-2022-34903,MEDIUM,6.5,5.9
krb5-libs,CVE-2020-17049,MEDIUM,7.2,7.2
libarchive,CVE-2020-21674,MEDIUM,6.5,7.5
libarchive,CVE-2017-14166,LOW,6.5,3.3
libarchive,CVE-2017-14501,LOW,6.5,3.3
libarchive,CVE-2018-1000879,LOW,6.5,3.3
libarchive,CVE-2018-1000880,LOW,6.5,3.3
libcom_err,CVE-2022-1304,MEDIUM,7.8,5.8
libcurl,CVE-2022-32206,MEDIUM,6.5,6.5
libcurl,CVE-2022-32208,MEDIUM,5.9,5.3
libgcc,CVE-2021-42694,MEDIUM,8.3,8.5
libgcc,CVE-2022-27943,MEDIUM,5.5,5.5
libgcc,CVE-2018-20657,LOW,7.5,3.3
libgcc,CVE-2019-14250,LOW,5.5,3.3
libgcrypt,CVE-2019-12904,MEDIUM,5.9,5.9
libsolv,CVE-2021-44568,MEDIUM,6.5,6.3
libstdc++,CVE-2021-42694,MEDIUM,8.3,8.5
libstdc++,CVE-2022-27943,MEDIUM,5.5,5.5
libstdc++,CVE-2018-20657,LOW,7.5,3.3
libstdc++,CVE-2019-14250,LOW,5.5,3.3
libtasn1,CVE-2018-1000654,LOW,5.5,4
libzstd,CVE-2021-24032,LOW,4.7,5.5
lz4-libs,CVE-2019-17543,MEDIUM,8.1,8.1
ncurses-base,CVE-2021-39537,MEDIUM,8.8,5.5
ncurses-base,CVE-2018-19211,LOW,5.5,4.7
ncurses-base,CVE-2018-19217,LOW,6.5,4.7
ncurses-libs,CVE-2021-39537,MEDIUM,8.8,5.5
ncurses-libs,CVE-2018-19211,LOW,5.5,4.7
ncurses-libs,CVE-2018-19217,LOW,6.5,4.7
nodejs,CVE-2020-8201,MEDIUM,7.4,7.4
nodejs,CVE-2021-44531,MEDIUM,7.4,7.4
nodejs,CVE-2022-0235,MEDIUM,6.1,6.1
nodejs,CVE-2022-32213,MEDIUM,9.1,null
nodejs,CVE-2022-32214,MEDIUM,9.1,null
nodejs,CVE-2022-33987,MEDIUM,5.3,5.3
nodejs-docs,CVE-2020-8201,MEDIUM,7.4,7.4
nodejs-docs,CVE-2021-44531,MEDIUM,7.4,7.4
nodejs-docs,CVE-2022-0235,MEDIUM,6.1,6.1
nodejs-docs,CVE-2022-32213,MEDIUM,9.1,null
nodejs-docs,CVE-2022-32214,MEDIUM,9.1,null
nodejs-docs,CVE-2022-33987,MEDIUM,5.3,5.3
nodejs-full-i18n,CVE-2020-8201,MEDIUM,7.4,7.4
nodejs-full-i18n,CVE-2021-44531,MEDIUM,7.4,7.4
nodejs-full-i18n,CVE-2022-0235,MEDIUM,6.1,6.1
nodejs-full-i18n,CVE-2022-32213,MEDIUM,9.1,null
nodejs-full-i18n,CVE-2022-32214,MEDIUM,9.1,null
nodejs-full-i18n,CVE-2022-33987,MEDIUM,5.3,5.3
nodejs-nodemon,CVE-2020-8201,MEDIUM,7.4,7.4
nodejs-nodemon,CVE-2021-44531,MEDIUM,7.4,7.4
nodejs-nodemon,CVE-2022-0235,MEDIUM,6.1,6.1
nodejs-nodemon,CVE-2022-32213,MEDIUM,9.1,null
nodejs-nodemon,CVE-2022-32214,MEDIUM,9.1,null
nodejs-nodemon,CVE-2022-33987,MEDIUM,5.3,5.3
npm,CVE-2020-8201,MEDIUM,7.4,7.4
npm,CVE-2021-44531,MEDIUM,7.4,7.4
npm,CVE-2022-0235,MEDIUM,6.1,6.1
npm,CVE-2022-32213,MEDIUM,9.1,null
npm,CVE-2022-32214,MEDIUM,9.1,null
npm,CVE-2022-33987,MEDIUM,5.3,5.3
openssl,CVE-2022-1292,MEDIUM,9.8,6.7
openssl,CVE-2022-2068,MEDIUM,9.8,6.7
openssl,CVE-2022-2097,MEDIUM,7.5,3.7
openssl-libs,CVE-2022-1292,MEDIUM,9.8,6.7
openssl-libs,CVE-2022-2068,MEDIUM,9.8,6.7
openssl-libs,CVE-2022-2097,MEDIUM,7.5,3.7
pcre2,CVE-2022-1586,MEDIUM,9.1,7.1
rpm,CVE-2021-35937,MEDIUM,null,6.3
rpm,CVE-2021-35938,MEDIUM,null,6.5
rpm,CVE-2021-35939,MEDIUM,null,6.5
rpm-libs,CVE-2021-35937,MEDIUM,null,6.3
rpm-libs,CVE-2021-35938,MEDIUM,null,6.5
rpm-libs,CVE-2021-35939,MEDIUM,null,6.5
sqlite-libs,CVE-2022-35737,MEDIUM,null,6.8
sqlite-libs,CVE-2019-19244,LOW,7.5,7.5
sqlite-libs,CVE-2019-9936,LOW,7.5,3.3
sqlite-libs,CVE-2019-9937,LOW,7.5,3.3
systemd-libs,CVE-2018-20839,MEDIUM,9.8,6.4
systemd-libs,CVE-2021-3997,MEDIUM,null,5.5
tar,CVE-2005-2541,MEDIUM,null,7
tar,CVE-2019-9923,LOW,7.5,3.3
tar,CVE-2021-20193,LOW,5.5,3.3
